Chave;Status;Tipo Venda;CD;Fornecedor;Oferta;Indústria;Projeto Conectividade;Descr Proj/VAN;Cliente;CNPJ;UF;Código Bandeira;Descrição Bandeira;Produto;Descrição Produto;Código EAN;Tipo estratégico;Pedido Venda;Pedido OL;Nr. Nota;Data;DC. Ent;Margem;Qtd;VPF;% DC PDV Comercial;% Desc. Comercial Industria;% Desc. Financeiro Industria;% Ressarc;Vlr. Ressar. Dinheiro;Vlr. Ressar. Repos. Mercadoria;A.D.;DANFE;% Soma OL;Vlr Ressarc Desc Soma OL;% Soma OL Financ;Vlr Soma OL Financ;% Desconto Adicional;Vlr Voucher Ind;% ICMS Destino;% ICMS Origem;% Repasse;Tipo Proj;Desconto Entrada MSD;Margem MSD;PF MSD;Desconto Funcional;Ressarcimento Funcional
05287536000153-441986-7897572020290-12872157-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00779 - JAN CARLA;05287536000153;BA;13148;MULTMAIS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12872157;12872157;441986;2024-07-05 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;392763;29240761940292005520550160004419861864994897;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
34394460000163-492439-7897572020177-12892950-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00438 - EDENILSON;34394460000163;BA;14528;MULTMAIS REDE CARVALHO SEABRA;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12892950;12892950;492439;2024-07-22 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394885;29240761940292005520550160004924391865544122;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
08782432000103-515103-7897572020177-12901526-50-2;Chave não localizada;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E04477 - R A GOMES;08782432000103;BA;10437;INDIVIDUAL;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12901526;12901526;515103;2024-07-29 00:00:00;8,5;7;2;494,18;50;50;0;38,56;190,54;0;394885;29240761940292005520550160005151031865832797;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;;
08033188000186-510375-7897572020290-12900154-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01806 - FERNANDES;08033188000186;BA;13148;MULTMAIS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12900154;12900154;510375;2024-07-26 00:00:00;8,5;7;3;752,19;50;50;0;38,56;290,03;0;394885;29240761940292005520550160005103751865768646;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;284,03898
15614431000115-101529-7897572020191-12884299-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01941 - MACELO REZ;15614431000115;SE;15056;ABRAFAD LUCREMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12884299;12884299;101529;2024-07-15 00:00:00;8,5;7;1;242,51;50;50;0;39,29;95,27;0;394140;28240761940292006178550020001015291915317491;0;0;0;0;0;;19;0;0;;8,5;6;239,55;50;93,304725
03066717000124-465255-7897572020191-12879546-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00384 - R2 DROGARI;03066717000124;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12879546;12879546;465255;2024-07-11 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;393412;29240761940292005520550160004652551865217810;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
03619471000170-447174-7897572020290-12874184-50-3;Chave não localizada;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01211 - BORGES FAR;03619471000170;BA;13148;MULTMAIS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12874184;12874184;447174;2024-07-08 00:00:00;8,5;7;3;752,19;50;50;0;38,56;290,03;0;393412;29240761940292005520550160004471741865060955;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;;
03619471000170-457250-7897572020177-12878218-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01211 - BORGES FAR;03619471000170;BA;13148;MULTMAIS;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12878218;12878218;457250;2024-07-10 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;393412;29240761940292005520550160004572501865165932;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
15600422000175-108451-7897572020191-12900842-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01471 - RODRIGO SA;15600422000175;SE;15755;ABRAFAD LUCREMAIS RODRIGO;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12900842;12900842;108451;2024-07-29 00:00:00;8,5;7;1;242,51;50;50;0;39,29;95,27;0;394885;28240761940292006178550020001084511915839940;0;0;0;0;0;;19;0;0;;8,5;6;239,55;50;93,304725
15629579000476-442228-7897572020290-12872769-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00046 - F S R LJ 3;15629579000476;BA;14421;MULTMAIS SILVA ROCHA;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12872769;12872769;442228;2024-07-05 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;392763;29240761940292005520550160004422281864999638;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
15708605000109-441775-7897572020191-12873110-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E03425 - PROFAL COM;15708605000109;BA;13151;FECOFAR REDEMED FARMA CERTA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12873110;12873110;441775;2024-07-05 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004417751864966864;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
14182796000155-437396-7897572020191-12870313-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05330 - DEVERTON R;14182796000155;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12870313;12870313;437396;2024-07-04 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;392763;29240761940292005520550160004373961864913576;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
14182796000155-516689-7897572020191-12901041-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05330 - DEVERTON R;14182796000155;BA;13148;MULTMAIS;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12901041;12901041;516689;2024-07-29 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;394885;29240761940292005520550160005166891865811460;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
18810957000169-469991-7897572020290-12885113-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05505 - SENADOR CO;18810957000169;BA;14073;AUGEFARMA;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12885113;12885113;469991;2024-07-15 00:00:00;8,5;7;3;752,19;50;50;0;38,56;290,03;0;394140;29240761940292005520550160004699911865322110;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;284,03898
06968563000154-479530-7897572020177-12888245-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E04326 - MANOELA MA;06968563000154;BA;13148;MULTMAIS;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12888245;12888245;479530;2024-07-17 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004795301865389750;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
18436323000198-466160-7897572020184-12882218-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05529 - BASTOS MAC;18436323000198;BA;14175;INOVA DROGARIA;100056;JANUMET 50 500MG C 56 COMP;7897572020184;Diabetes;0000RCV12882218;12882218;466160;2024-07-12 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;393412;29240761940292005520550160004661601865265015;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
33821772000143-514772-7897572020191-12901013-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E12020 - REMEDIO BA;33821772000143;BA;10437;INDIVIDUAL;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12901013;12901013;514772;2024-07-29 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;394885;29240761940292005520550160005147721865844030;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
33821772000143-441874-7897572020177-12872435-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E12020 - REMEDIO BA;33821772000143;BA;10437;INDIVIDUAL;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12872435;12872435;441874;2024-07-05 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,82;0;392763;29240761940292005520550160004418741864998497;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;279,914175
16052540000230-426093-7897572020191-12863802-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E11012 - FARMACIA S;16052540000230;BA;13150;FECOFAR REDEMED;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12863802;12863802;426093;2024-07-01 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004260931864758230;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
37623130000190-465834-7897572020191-12882396-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E11001 - FARMACIA P;37623130000190;BA;14326;ABRAFAD UNIVERSAL;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12882396;12882396;465834;2024-07-12 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;393412;29240761940292005520550160004658341865231262;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
43066555000149-497404-7897572020191-12893549-50-3;Chave não localizada;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E11040 - DROGARIA M;43066555000149;BA;14516;ABRAFAD REDE SOMA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12893549;12893549;497404;2024-07-22 00:00:00;8,5;7;3;741,27;50;50;0;38,56;285,81;0;394885;29240761940292005520550160004974041865592051;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;;
15629579001014-475779-7897572020191-12886583-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E09843 - FSR LJ 09;15629579001014;BA;14421;MULTMAIS SILVA ROCHA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12886583;12886583;475779;2024-07-16 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004757791865373270;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
13731975000212-436839-7897572020191-12870673-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E09443 - HENRIQUE B;13731975000212;BA;10437;INDIVIDUAL;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12870673;12870673;436839;2024-07-04 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004368391864893105;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
32763823000246-101684-7897572020290-12884936-50-3;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05305 - FARMACIAS;32763823000246;SE;15753;ABRAFAD LUCREMAIS EDSON;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12884936;12884936;101684;2024-07-15 00:00:00;8,5;7;3;738,24;50;50;0;39,29;290,02;0;394140;28240761940292006178550020001016841915316441;0;0;0;0;0;;19;0;0;;8,5;6;243,08;50;284,03898
12059372000172-487677-7897572020191-12892404-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E05118 - FCIA CARVA;12059372000172;BA;13149;BOAFARMA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12892404;12892404;487677;2024-07-19 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004876771865494010;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
12715150000403-492679-7897572020191-12894493-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E06597 - UNIAO FARM;12715150000403;BA;14402;REDE BRITO AMARGOSA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12894493;12894493;492679;2024-07-22 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394885;29240761940292005520550160004926791865577736;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
13429279000760-470151-7897572020191-12884421-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E06525 - FCIA CASTR;13429279000760;BA;14073;AUGEFARMA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12884421;12884421;470151;2024-07-15 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394140;29240761940292005520550160004701511865324604;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
18681698000202-425046-7897572020177-12864495-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E07226 - FARMACIA M;18681698000202;BA;14819;MULTMAIS RD AMARAL FIGUEIREDO;100054;JANUMET 50 MG 850 MG C 56 COMP;7897572020177;Diabetes;0000RCV12864495;12864495;425046;2024-07-01 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;392763;29240761940292005520550160004250461864791127;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
03980582000108-465855-7897572020290-12882547-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00531 - FCIAS MAIS;03980582000108;BA;15756;ABRAFAD LUCREMAIS M.BARATO;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12882547;12882547;465855;2024-07-12 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;393412;29240761940292005520550160004658551865246316;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
13184254000159-105080-7897572020191-12893086-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E02113 - DROGARIA S;13184254000159;SE;14073;AUGEFARMA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12893086;12893086;105080;2024-07-22 00:00:00;8,5;7;1;242,51;50;50;0;39,29;95,27;0;394885;28240761940292006178550020001050801915573017;0;0;0;0;0;;19;0;0;;8,5;6;239,55;50;93,304725
08645213000182-461153-7897572020290-12878275-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E00286 - CATU;08645213000182;BA;14305;ULTRAPOPULAR FARMARCAS;198176;JANUVIA 100MG C 28 COMP REV;7897572020290;Diabetes;0000RCV12878275;12878275;461153;2024-07-10 00:00:00;8,5;7;1;250,73;50;50;0;38,56;96,68;0;393412;29240761940292005520550160004611531865171579;0;0;0;0;0;;20,5;0;0;;8,5;6;243,08;50;94,67966
39346861003004-103997-7897572020191-12889130-50-4;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E02136 - CENCOSUD B;39346861003004;SE;13535;G BARBOSA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12889130;12889130;103997;2024-07-18 00:00:00;8,5;7;4;970,04;50;50;0;39,29;381,08;0;394140;28240761940292006178550020001039971915460538;0;0;0;0;0;;19;0;0;;8,5;6;239,55;50;373,2189
06915238000123-515289-7897572020191-12901237-50-1;OK;PBM;CD BA;F00026;;RCV;RCV;MSD RECEITA VIDA(FIDELIZE);E01870 - BETHANIA V;06915238000123;BA;12025;ABRAFAD FORTE FARMA;100058;JANUMET 50MG 1000MG C 56 COMP;7897572020191;Diabetes;0000RCV12901237;12901237;515289;2024-07-29 00:00:00;8,5;7;1;247,09;50;50;0;38,56;95,27;0;394885;29240761940292005520550160005152891865792965;0;0;0;0;0;;20,5;0;0;;8,5;6;239,55;50;93,304725
